Lokalizacja;Numer stacji;Szer. geograficzna;D³. geograficzna;Dzielnica
ul. Trêbacka – Krakowskie Przedmieœcie;6402;52.243575183764456;21.01413130760193;Œródmieœcie
ul. Warecka – Nowy Œwiat;6403;52.23550731314584;21.01809561252594;Œródmieœcie
ul. Mokotowska – Nowy Œwiat;6404;52.223747802336106;21.020745635032654;Œródmieœcie
ul. W¹wozowa – al. KEN- Metro Kabaty;6405;52.13106776117692;21.06556534767151;Ursynów
al. Komisji Edukacji Narodowej – Metro Natolin;6406;52.1402575395535;21.0569125413895;Ursynów
ul. Grzybowska – ¯elazna;6407;52.2345611475481;20.990667343139645;Wola
ul. Wybrze¿e Gdañskie – Sanguszki – Skwer 1 Dywizji Pancernej;6408;52.2558745493;21.0098960995674;Œródmieœcie
ul. Wybrze¿e Gdañskie – Sanguszki – Skwer 1 Dywizji Pancernej 1;64081;52.2557858878398;21.0102474689484;Œródmieœcie
ul. S³owackiego – Metro Marymont;6409;52.27137444520264;20.97262144088745;¯oliborz
al. Jana Paw³a II – Plac Grunwaldzki;6410;52.2623069578896;20.980281829834;¯oliborz
Plac Inwalidów;6411;52.26442790492038;20.989594459533688;¯oliborz
ul. ¯elazna – ul. Sienna;6412;52.2298176957136;20.993977189064;Wola
al. Solidarnoœci – Urz¹d Dzielnicy Wola;6413;52.2401409335974;20.9878054261208;Wola
ul. Matejki – Wiejska;6414;52.2248880756772;21.026930809021;Œródmieœcie
ul. Ch³odna – ¯elazna;6415;52.23725503822611;20.98886489868164;Wola
al. Lotników – Modzelewskiego;6416;52.1743988442479;21.0128492116928;Mokotów
al. Niepodleg³oœci – Wilanowska;6417;52.1800618456735;21.0208381712437;Mokotów
pl. Powstañców Warszawy;6418;52.23584240862528;21.01359486579895;Œródmieœcie
Fabryka Wódek Koneser;6419;52.254649691956814;21.04408085346222;Praga P³n.
al. Niepodleg³oœci – Batorego;6420;52.2099077420935;21.0068035125732;Mokotów
al. Niepodleg³oœci – Batorego 1;64201;52.20995376226247;21.00681960582733;Mokotów
ul. Marymoncka – Dewajtis;6421;52.2901699484755;20.9503228962421;Bielany
ul. Radzymiñska – Piotra Skargi;6422;52.26689674334066;21.058607697486877;Targówek
ul. Stefana Banacha – Uniwersytet Warszawski;6423;52.210670355885966;20.98487913608551;Ochota
ul. Pasteura – Winnicka – UW;6424;52.212984414159;20.9820520877838;Ochota
ul. Stalowa – ul. 11-go Listopada;6425;52.25823878953007;21.035267114639282;Praga P³n.
Metro M³ociny;6426;52.29079009373927;20.929625630378723;Bielany
ul. Grójecka – Bitwy Warszawskiej 1920 roku;6427;52.210768968782624;20.9759259223938;Ochota
Port Czerniakowski;6428;52.22769427210073;21.044209599494934;Œródmieœcie
KS Spójnia;6429;52.267658378510085;21.002297401428223;¯oliborz
